Not,Dex,Pokémon ,ID,Copy,LV30 0% Combat Power,Copy,LV35 100% Combat Power,Trade String,Transfer String,,Link
!3*&!4*&!dynamax&!shadow&,382,Kyogre,,&cp,2260,-,2939,!3*&!4*&!dynamax&!shadow&382&cp2260-2939,!3*&!4*&!dynamax&!shadow&382&cp0-2259,,https://assets.dittobase.com/go/pokemon/382-kyogre.png
!3*&!4*&!dynamax&!shadow&,383,Groudon,,&cp,2260,-,2939,!3*&!4*&!dynamax&!shadow&383&cp2260-2939,!3*&!4*&!dynamax&!shadow&383&cp0-2259,,https://assets.dittobase.com/go/pokemon/383-groudon.png
!3*&!4*&!dynamax&!shadow&evolve&,1,Bulbasaur,,&cp,753,-,1035,!3*&!4*&!dynamax&!shadow&evolve&1&cp753-1035,!3*&!4*&!dynamax&!shadow&evolve&1&cp0-752,,https://assets.dittobase.com/go/pokemon/1-bulbasaur.png
!3*&!4*&!dynamax&!shadow&evolve&,2,Ivysaur,,&cp,1203,-,1577,!3*&!4*&!dynamax&!shadow&evolve&2&cp1203-1577,!3*&!4*&!dynamax&!shadow&evolve&2&cp0-1202,,https://assets.dittobase.com/go/pokemon/2-ivysaur.png
!3*&!4*&!dynamax&!shadow&evolve&,3,Venusaur,,&cp,2008,-,2526,!3*&!4*&!dynamax&!shadow&evolve&3&cp2008-2526,!3*&!4*&!dynamax&!shadow&evolve&3&cp0-2007,,https://assets.dittobase.com/go/pokemon/3-venusaur.png
!3*&!4*&!dynamax&!shadow&evolve&,4,Charmander,,&cp,650,-,910,!3*&!4*&!dynamax&!shadow&evolve&4&cp650-910,!3*&!4*&!dynamax&!shadow&evolve&4&cp0-649,,https://assets.dittobase.com/go/pokemon/4-charmander.png
!3*&!4*&!dynamax&!shadow&evolve&,5,Charmeleon,,&cp,1166,-,1535,!3*&!4*&!dynamax&!shadow&evolve&5&cp1166-1535,!3*&!4*&!dynamax&!shadow&evolve&5&cp0-1165,,https://assets.dittobase.com/go/pokemon/5-charmeleon.png
!3*&!4*&!dynamax&!shadow&evolve&,6,Charizard,,&cp,2141,-,2683,!3*&!4*&!dynamax&!shadow&evolve&6&cp2141-2683,!3*&!4*&!dynamax&!shadow&evolve&6&cp0-2140,,https://assets.dittobase.com/go/pokemon/6-charizard.png
!3*&!4*&!dynamax&!shadow&evolve&,7,Squirtle,,&cp,623,-,878,!3*&!4*&!dynamax&!shadow&evolve&7&cp623-878,!3*&!4*&!dynamax&!shadow&evolve&7&cp0-622,,https://assets.dittobase.com/go/pokemon/7-squirtle.png
!3*&!4*&!dynamax&!shadow&evolve&,8,Wartortle,,&cp,1038,-,1382,!3*&!4*&!dynamax&!shadow&evolve&8&cp1038-1382,!3*&!4*&!dynamax&!shadow&evolve&8&cp0-1037,,https://assets.dittobase.com/go/pokemon/8-wartortle.png
!3*&!4*&!dynamax&!shadow&evolve&,9,Blastoise,,&cp,1806,-,2290,!3*&!4*&!dynamax&!shadow&evolve&9&cp1806-2290,!3*&!4*&!dynamax&!shadow&evolve&9&cp0-1805,,https://assets.dittobase.com/go/pokemon/9-blastoise.png
!3*&!4*&!dynamax&!shadow&evolve&,13,Weedle,,&cp,261,-,423,!3*&!4*&!dynamax&!shadow&evolve&13&cp261-423,!3*&!4*&!dynamax&!shadow&evolve&13&cp0-260,,https://assets.dittobase.com/go/pokemon/13-weedle.png
!3*&!4*&!dynamax&!shadow&evolve&,14,Kakuna,,&cp,241,-,401,!3*&!4*&!dynamax&!shadow&evolve&14&cp241-401,!3*&!4*&!dynamax&!shadow&evolve&14&cp0-240,,https://assets.dittobase.com/go/pokemon/14-kakuna.png
!3*&!4*&!dynamax&!shadow&evolve&,15,Beedrill,,&cp,1317,-,1714,!3*&!4*&!dynamax&!shadow&evolve&15&cp1317-1714,!3*&!4*&!dynamax&!shadow&evolve&15&cp0-1316,,https://assets.dittobase.com/go/pokemon/15-beedrill.png
!3*&!4*&!dynamax&!shadow&evolve&,16,Pidgey,,&cp,425,-,632,!3*&!4*&!dynamax&!shadow&evolve&16&cp425-632,!3*&!4*&!dynamax&!shadow&evolve&16&cp0-424,,https://assets.dittobase.com/go/pokemon/16-pidgey.png
!3*&!4*&!dynamax&!shadow&evolve&,17,Pidgeotto,,&cp,811,-,1109,!3*&!4*&!dynamax&!shadow&evolve&17&cp811-1109,!3*&!4*&!dynamax&!shadow&evolve&17&cp0-810,,https://assets.dittobase.com/go/pokemon/17-pidgeotto.png
!3*&!4*&!dynamax&!shadow&evolve&,18,Pidgeot,,&cp,1540,-,1977,!3*&!4*&!dynamax&!shadow&evolve&18&cp1540-1977,!3*&!4*&!dynamax&!shadow&evolve&18&cp0-1539,,https://assets.dittobase.com/go/pokemon/18-pidgeot.png
